guest_key,title,first_name,last_name,full_name,credentials,organization,expertise,bio,email,phone,website,social_handles,source,confidence,needs_human
andrew-fabich,Dr,Andrew,Fabich,Dr. Andrew Fabich,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
mike-houts,Dr,Mike,Houts,Dr. Mike Houts,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
mike-houtz,Dr,Mike,Houtz,Dr. Mike Houtz,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
paul-garner,,Paul,Garner,Paul Garner,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
paul-nelson,Dr,Paul,Nelson,Dr. Paul Nelson,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
randy-guliuzza,Dr,Randy,Guliuzza,Dr. Randy Guliuzza,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
rob-stadler,Dr,Rob,Stadler,Dr. Rob Stadler,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
seth-dillon,,Seth,Dillon,Seth Dillon,of The Babylon Bee,The Babylon Bee,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
steve-furber,Dr,Steve,Furber,Dr. Steve Furber,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
steven-taylor,Dr,Steven,Taylor,Dr. Steven Taylor,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),low,true
stuart-burgess,Dr,Stuart,Burgess,Dr. Stuart Burgess,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
tim-clarey,Dr,Tim,Clarey,Dr. Tim Clarey,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
tim-shields,Pastor,Tim,Shields,Pastor Tim Shields,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
tommy-lohman,,Tommy,Lohman,Tommy Lohman,,,,,,,,,episodes_youtube.csv descriptions (YouTube; T-PLATFORMS pull),medium,false
